epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1794.21,1.03428,0.9075,1.21491,0.88058,0.74793,0.86245,0.65139,0.89032,0.68363,1.07552,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1848.56,1.02279,0.88205,1.20317,0.84198,0.78865,0.86691,0.65075,0.88388,0.67057,1.07666,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1903.16,1.0295,0.89464,1.21824,0.82416,0.82818,0.87464,0.66858,0.89348,0.65809,1.08522,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1957.51,1.01797,0.87529,1.20108,0.87746,0.79381,0.87619,0.66317,0.87476,0.66405,1.06731,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2011.86,1.00764,0.86059,1.18969,0.86483,0.783,0.86711,0.66283,0.8624,0.66368,1.05011,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2066.51,1.00905,0.85652,1.19025,0.87674,0.81891,0.88906,0.67763,0.85527,0.61866,1.05459,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2121.14,0.98755,0.84128,1.18643,0.90432,0.79495,0.88822,0.67623,0.8545,0.62288,1.05556,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2175.56,0.98074,0.82141,1.17123,0.89103,0.8102,0.90386,0.69689,0.83782,0.60083,1.04374,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2230.29,0.97409,0.81903,1.17677,0.89791,0.80052,0.90517,0.69817,0.84819,0.59326,1.04687,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2284.84,0.97847,0.82815,1.17606,0.90883,0.84212,0.91304,0.71274,0.82212,0.56962,1.03681,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2339.73,0.95516,0.79551,1.16202,0.91258,0.81931,0.90529,0.69659,0.83434,0.58908,1.04045,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2394.38,0.96033,0.79092,1.16257,0.87116,0.82624,0.89659,0.70502,0.82082,0.58552,1.02415,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2448.85,0.96949,0.8027,1.164,0.88409,0.79458,0.88341,0.69461,0.80491,0.61577,1.01914,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2503.16,0.95487,0.78142,1.15768,0.89023,0.83741,0.90918,0.69862,0.82921,0.58373,1.04306,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2557.49,0.95716,0.78161,1.16381,0.90254,0.84064,0.90698,0.70981,0.81242,0.56698,1.0182,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2612.02,0.94711,0.77783,1.15548,0.90506,0.81545,0.90422,0.70489,0.82001,0.59585,1.03128,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2666.95,0.93973,0.76925,1.152,0.9005,0.83866,0.90484,0.70783,0.81255,0.56505,1.02733,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2722.68,0.91615,0.74238,1.13454,0.90247,0.84798,0.91088,0.71203,0.78039,0.54367,1.00493,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2778.27,0.91705,0.75524,1.13586,0.92957,0.82241,0.91186,0.71833,0.78925,0.55623,1.0139,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2833.87,0.93911,0.75179,1.14539,0.91915,0.83529,0.91125,0.71941,0.78681,0.55621,1.02301,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2888.82,0.91646,0.74239,1.1459,0.91386,0.83546,0.91582,0.72954,0.77074,0.53813,1.00286,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2943.24,0.91176,0.74042,1.13461,0.90553,0.82299,0.89994,0.71387,0.7905,0.58932,1.00708,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2997.45,0.9153,0.73274,1.13635,0.93905,0.82763,0.91743,0.7439,0.75932,0.52946,0.99512,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3052.07,0.89609,0.73059,1.12907,0.90928,0.81888,0.90211,0.7237,0.76504,0.55091,1.0054,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3106.62,0.91131,0.73468,1.13181,0.91325,0.84481,0.92159,0.74047,0.756,0.51511,0.99862,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3161.33,0.90387,0.7134,1.1238,0.91336,0.86123,0.9223,0.74075,0.75401,0.52365,0.98731,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3215.98,0.88885,0.6986,1.1114,0.91004,0.866,0.91507,0.73338,0.76229,0.52446,0.99402,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3270.66,0.88834,0.70053,1.11703,0.917,0.85124,0.92733,0.74168,0.76696,0.51737,0.9974,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3325.12,0.88115,0.69077,1.11567,0.92261,0.86578,0.92106,0.74021,0.75416,0.51526,0.99135,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3379.68,0.87943,0.70262,1.11643,0.92861,0.85486,0.9197,0.74736,0.73575,0.50437,0.98058,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3434.25,0.87228,0.68282,1.105,0.91299,0.83465,0.91868,0.74638,0.73991,0.51559,0.9771,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3488.61,0.87758,0.68542,1.10555,0.94011,0.84131,0.92755,0.75554,0.74971,0.49624,0.98606,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3543.01,0.88288,0.69479,1.12114,0.92514,0.85518,0.91959,0.73917,0.74339,0.50059,0.97871,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3597.21,0.87346,0.67431,1.10774,0.91568,0.85153,0.92265,0.75522,0.72588,0.50584,0.97583,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3651.52,0.85776,0.66908,1.09782,0.92549,0.86857,0.92718,0.75617,0.71663,0.48235,0.96518,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3706.06,0.86206,0.67341,1.10195,0.93449,0.85619,0.92416,0.75561,0.71515,0.47421,0.96045,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3760.18,0.86065,0.66786,1.10066,0.9213,0.86286,0.92845,0.75712,0.72717,0.49398,0.97453,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,3814.59,0.8609,0.66734,1.10266,0.91507,0.8568,0.92448,0.75101,0.73681,0.49548,0.98738,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,3869.16,0.84622,0.65416,1.0952,0.93675,0.84746,0.92648,0.75884,0.71346,0.49112,0.97582,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,3923.69,0.84613,0.65452,1.09799,0.94557,0.84803,0.93009,0.76734,0.70155,0.46354,0.96402,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,3978.42,0.84624,0.65196,1.09609,0.93268,0.86678,0.93885,0.77217,0.69704,0.45731,0.95944,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4032.84,0.84301,0.64968,1.09693,0.93245,0.86906,0.93416,0.77268,0.69862,0.47722,0.96027,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4087.39,0.84226,0.64636,1.09859,0.91816,0.86297,0.92899,0.76876,0.69153,0.47485,0.95671,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4142.37,0.827,0.64516,1.0856,0.94878,0.85962,0.93144,0.7734,0.6819,0.46209,0.95282,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4197.56,0.85039,0.651,1.09687,0.94049,0.87048,0.93789,0.77768,0.67772,0.44937,0.94217,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,4252.49,0.81306,0.63347,1.07111,0.9485,0.85786,0.93265,0.77732,0.68186,0.4563,0.9468,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,4307.08,0.81431,0.62443,1.08026,0.94799,0.86893,0.93685,0.77741,0.68002,0.4455,0.94608,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,4362.04,0.83596,0.64105,1.09274,0.94543,0.87871,0.93764,0.78258,0.67903,0.45289,0.95106,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4416.66,0.82079,0.63047,1.08135,0.95569,0.86002,0.93101,0.77638,0.6871,0.4537,0.95144,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4471.56,0.81199,0.62032,1.07795,0.93673,0.88483,0.92984,0.78308,0.68005,0.45478,0.95063,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4526.21,0.80998,0.62168,1.0807,0.94153,0.88578,0.93848,0.78722,0.66329,0.44971,0.94253,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4580.91,0.81679,0.62288,1.08041,0.93579,0.89095,0.9395,0.78874,0.65996,0.44205,0.94541,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4635.27,0.80297,0.61528,1.08118,0.95004,0.88204,0.93291,0.78747,0.6645,0.45142,0.94137,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4689.91,0.80128,0.60738,1.07769,0.93413,0.88473,0.937,0.79175,0.6536,0.43433,0.93764,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,4744.23,0.80173,0.60345,1.07085,0.94394,0.86874,0.93385,0.7895,0.67332,0.44315,0.94339,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
